barcode,name,brand,package_size,category
8008343200134,פסטה רומו לינגוינה 500גר,רומו,500 גרם,Other
8008343200424,פסטה קונקילי ריגטה500ג,רומו,500 גרם,Other
8008343201377,פסטה רומו רדיאטורי 500גר,רומו,500 גרם,Other
80083665,עוג.אורגני שוקו.ציפס250ג,גנדולה ביסקוטי,250 גרם,Snacks
80083764,עוג.דגנים עם ש.שועל250ג,גנדולה ביסקוטי,250 גרם,Other
8008698002025,בסיס לפיצה ללא גלוטן300ג,דר שר אי ג\י\/אספי איי,300 גרם,Prepared
8008698003503,קרקרים מלבניים שר 210 גר,,210 גרם,Snacks
8008698004548,"ביסקויט מצופ.שוק.לל""ג150","ד""ר שר",150 גרם,Other
8008698004807,"קמח ללא גלוטן 1 ק""ג שר",,1 קילוגרם,Other
8008698008157,עוג.ממולא קרם וניל100גר,,100 גרם,Other
8008698012857,ביסקוויט ללא גלוטן 165 ג,דר שר,165 גרם,Snacks
8008698024188,"פאן רוסטיקו פרוס לל""ג250",---,250 גרם,Other
8008698054109,ממרח אגוזי לוז+קקאו 52גר,---,52 גרם,Sauces & Spreads
8008857200156,פסטה 15 בוקטיני 500 גרם,פאסטופיציו אנטוניו פאלנט,500 גרם,Other
8008857300030,פסטה רגיה 94 חצי ירח500,פאסטופיציו אנטוניו פאלנט,500 גרם,Other
8008857400587,פסטה רגיה 58 חונקי 500,פאסטופיציו אנטוניו פאלנט,500 גרם,Other
8008857400839,פסטה רגיה 83 פרפר 500 ג,---,500 גרם,Other
8008857400846,פסטה רגיה 84 פרפר 500 ג,פאסטופיציו אנטוניו פאלנט,500 גרם,Other
8008857406145,פסטה רגיה614 500 גרם,פאסטופיציו אנטוניו פאלנט,500 גרם,Other
8008857406152,פסטה רגיה609 500 גרם,פאסטופיציו אנטוניו פאלנט,500 גרם,Other
8008857500003,פסטה רגיה 609 500 גרם,פאסטופיציו אנטוניו פאלנט,500 גרם,Other
8009470009164,סימבה שימור לכלב כבש 415,---,415 גרם,Other
8009470009560,סימבה יבש לכלבים בקר4קג,מונג,4 קילוגרם,Meat & Fish
8009470009812,סימבה יבש לכלבים עוף 4 ק,מונג,4 קילוגרם,Meat & Fish
8009470013024,מונג פרש פטה ונתחי הודו,,100 גרם,Meat & Fish
8009470013109,מונג פרש פטה ונתחי בקלה,---,100 גרם,Other
8010024006010,חמאת שקדים100% 350 גרם,נטורפוד,350 גרם,Other
80135876,ממרח נוטלה 400 גרם,פררו תעשיות איטליה ס.ר.ל,400 גרם,Sauces & Spreads
80136194,הפי היפו אגוזי לוז 5*23ג,פררו אס.פי.אי,115 גרם,Other
8014515335351,שעועית אדומה אורגנית390ג,,390 גרם,Other
8014515335382,גרגירי חומוס אורגנית390ג,,390 גרם,Sauces & Spreads
80176800,נוטלה ממרח שוקולד 750 גר,פררו תעשיות איטליה ס.ר.ל,750 גרם,Sauces & Spreads
80177609,אצבעות שוקולד קינדר50גרם,פררו אס.פי.אי,50 גרם,Snacks
80177616,אצבעות שוקולד קינדר100גר,פררו אס.פי.אי,100 גרם,Snacks
8017938005122,חומץ תפוחים אורגני 750 מ,,750 מיליליטר,Sauces & Spreads
8017938005764,מיץ תפוחים אורגני 1 ליטר,,1 ליטר,Drinks
8024985002783,סמוזי גזר ודלעת אורגנ100,נטורה נובה,100 גרם,Vegetables
8024985002943,סמוזי אננס קוקוס 100 גרם,נטורה נובה,100 גרם,Fruit
8024985002950,סמוזי שזיף אורגני 100 גר,נטורה נובה,100 גרם,Fruit
8024985002967,סמוזי תפוח בננה תרד 100ג,נטורה נובה,100 גרם,Fruit
8024985003988,סמוזי תפוח בננה אורג100ג,נטורה נובה,100 גרם,Fruit
8024985005234,סמוזי תפוח אפרסק 100 גרם,נטורה נובה,100 גרם,Fruit
8024985008037,סמוזי תפוח אורגני 100 גר,נטורה נובה,100 גרם,Fruit
8024985008044,סמוזי אגס אורגני 100 גרם,,100 גרם,Fruit
8024985008051,סמוזי פירות אדום אורג100,,100 גרם,Fruit
8024985011204,סמוזי תפוח תות בננה 100ג,נטורה נובה,100 גרם,Fruit
8024985011990,סמוצי קיווי תפוח 100 גר,נטורה נובה,100 גרם,Fruit
8024985012003,סמוזי תפוח רימון פטל 120,נטורה נובה,120 גרם,Fruit
8024985013468,סמוזי שיבולת תפוח+אפרסק,נטורה נובה,100 גרם,Fruit
8024985013475,סמוזי תפוח אוכמניות 100ג,נטורה נובה,100 גרם,Fruit
8024985013482,סמוזי שבולת שועל תפוח100,נטורה נובה,100 גרם,Fruit
80310167,קינדר מקסי שישיה 126גרם,פררו אס.פי.אי,126 גרם,Other
80310891,ביצת הפתעה קינדר גוי20ג,פררו אס.פי.אי,20 גרם,Other
8032804430471,פסטה עדשים אדומות 250גר,מולינו אנדריאני,250 גרם,Other
8032880800243,פיקניק הפתעה 50 גרם,"הוסטה איטליה, ס.ר.ל.",50 גרם,Other
8033020444501,קמח חיטה מנופה לחלה 1 קג,,1 קילוגרם,Other
8033020444518,קמח חיטה מנופה לעוגה 1קג,,1 קילוגרם,Snacks
8033020444525,"קמח חיטה לבן מנופה 1 ק""ג",,1 קילוגרם,Dairy
8033020444549,קמח חיטה תופח מנופה 1 קג,,1 קילוגרם,Other
8033020445980,"קמח לפסטה 1ק""ג",ליידי פצפון,1 קילוגרם,Other
8033413430708,לימונצלו וילה מאסה700מל,וילה מאסה,700 מיליליטר,Other
8033829380093,Pasta dAlba פסטה אורגני,פסטה דאלבה,250 גרם,Other
8033829380239,Pasta dAlba פסטה אורגני,פסטה דאלבה,250 גרם,Other
80473206,פפריקה מתוקה אורגני 50 ג,קנהמלה,50 גרם,Other
80473213,כמון אורגני 32 גרם,קנהמלה,32 גרם,Other
80473336,פלפל שחור טחון אורגני50ג,בונומלי,50 גרם,Vegetables
8052440756315,שמן קנולה אורגני 1 ליטר,,1 ליטר,Sauces & Spreads
8053259248725,רוטב בלסמי מצומצם 180 גר,---,180 גרם,Sauces & Spreads
80541776,אורגנו אורגני 14 גרם,קנהמלה,14 גרם,Other
80655404,שום גבישי אורגני 70 גרם,קנהמלה,70 גרם,Other
80761761,קינדר בואנו לבן 2*19.5גר,פררו אס.פי.אי,39 גרם,Dairy
8076800195019,ספגטי מס 1 קפליני500גרם,ברילה גי.אי.אר. פרטלי,500 גרם,Other
8076800195033,ספגטיני מס 3 500 גרם,ברילה גי.אי.אר. פרטלי,500 גרם,Other
8076800195057,ספגטי מס 5 ברילה500גר,ברילה גי.אי.אר. פרטלי,500 גרם,Other
8076800195132,אטריות בבטה מס13 500גרם,ברילה גי.אי.אר. פרטלי,500 גרם,Other
8076800315097,ספגטי בוקטיני מס9 500גר,ברילה גי.אי.אר. פרטלי,500 גרם,Other
8076802085738,פנה ריגטה מס73 500 גרם,ברילה גי.אי.אר פרטלי ס.פ,500 גרם,Other
8076802085936,פסטה קונציליה ריגטי 500,ברילה גי.אי.אר פרטלי ס.פ,500 גרם,Other
8076802085981,פסטה פוזילי מס98 500גרם,ברילה גי.אי.אר פרטלי ס.פ,500 גרם,Other
8076808070882,קנלוני ברילה 250 גרם,ברילה,250 גרם,Other
8076808150072,ספגטי מס 7 500 גרם,ברילה גי.אי.אר. פרטלי,500 גרם,Other
8076809501415,פסטה פנה טריקולור 500 גר,ש.שסטוביץ,500 גרם,Other
8076809512268,פסטה גירנדולה מס34 500ג,ברילה גי.אי.אר פרטלי ס.פ,500 גרם,Other
8076809513388,רוטב פיקנטי לפסטה 400גרם,ברילה גי.אי.אר פרטלי ס.פ,400 גרם,Sauces & Spreads
8076809513395,רוטב פומודורו ברילה 400ג,ברילה גי.אי.אר פרטלי ס.פ,400 גרם,Sauces & Spreads
8076809513654,בסיס לרוטב בולונז 400 גר,ברילה גי.אי.אר פרטלי ס.פ,400 גרם,Sauces & Spreads
